6707357;"Sony   NEX-FS700U Super 35 Camcorder (Body Only)";"Sony NEX-FS700U Super 35 Camcorder (Body Only)";"Product Overview

The Sony NEX-FS700U Super 35 is a professional camcorder. It uses a Super 35 complementary metal-oxide semiconductor image sensor, and it uses horizontal 4K resolution. This makes it a digital camcorder, with a high level of quality.

This digital Sony camcorder is closely related to matching the imaging area of film cameras used for shooting big budget movies. Also, this device can work with film style lenses. With a big sensor, it lets you take control of the depth of field. It is more sensitive when the lighting is low, and it boasts a dynamic range.

It can record high definition video, supporting its standard frame rate at up to 60 frames per second. When shooting, it uses the Advanced Video Coding High Definition format. It can be saved on an SD card, or be transported through the flash memory unit port and HDMI for use on other devices. The recordings can be saved in multiple ways to make sure you have your content backed up.

Attached to the camera is a shotgun microphone to help capture the correct audio, while eliminating any background noise it picks up. Also, it can capture 960 frames per second for slow motion video for a few seconds. The duration depends on the frame rate. The high quality resolution can be maintained at 240 fps, but it will be lowered for 480 and 960 frames per second.

In addition, it has a 3.5 inch LCD screen and a handle to make it easy to hold onto. All together, it is a great professional choice for making independent films, advertisements, and promotional material for business and education purposes.
 
Highlights
<ul>
<li>35mm sensor</li>
<li>4k resolution sensor</li>
<li>Able to attach film style lenses to it</li>
<li>Records high definition video</li>
<li>Uses AVCHD format</li>
<li>Equipped with a 3.5 inch LCD screen, shotgun microphone, and a handle</li>
</ul>"
6707361;"Manfrotto 055XWNB Tripod Legs (Black) - Supports 15.4 lbs (7kg)";"Manfrotto 055XWNB Tripod";"Product Overview

The Manfrotto 055XWNB tripod improves upon past iterations by making it set up in place much faster than previous versions were able to. It can have the legs stand at different angle with the use of its release mechanism. They can stand at 25, 46, 66 and 88 degrees. Plus, it locks into place quickly.

On the bottom of the legs, the feet are spike. This makes the tripod the perfect companion piece to use outside to make sure the tripod stays as sturdy as possible. It can stand up as tall as anywhere between 2.8 and 71.3 inches. Additionally, it weighs a little bit over 5 pounds, while being able to support cameras that weigh around 15 pounds. These features make it easy to take around. It is strong and durable, but the best part is how quickly it can be set up.

Highlights
<ul>
<li>Legs can stand at angles of 25, 46, 66, and 88 degrees</li>
<li>Can stand anwhere from 2.8 to 71.3 inches</li>
<li>Weighs 5.3 pounds, and support 15.4 pounds.</li>
</ul>"
6707365;"Nikon   CoolPix P7000 Digital Camera";"Nikon CoolPix P7000 Digital Camera";"Product Overview

The Nikon CoolPix P7000 is a digital camera that can shoot and record with high definition quality. It produces crisp images with a range that spans from wide angle shots to close up shots. It produces fast with a 10.1 megapixel CCD sensor. It limits deficiencies in what it captures, because the lens is made out of extra low dispersion glass. When shooting video, it generates high definition video. 

This CoolPix camers is about giving you control. It allows you to shoot in several different formats. It works fast to turn on and automatically focus to make sure you capture what you need. It even knows when to focus in on someone's face. Also, when the lighting is not ideal, it can stabilize the image to keep the imagery crisp. 

Additionally, it is an intelligent device. It can focus in on a moving subject, and it can automatically transition between settings as it recognizes the environment. The camera is equipped with a 3 inch LCD display that can show off a horizon display which helps you stay level. It also has a function that takes multiple shots and selects the best one. Overall, this Nikon CoolPix camera is fast, while employing the latest technology to assist you in capturing the best quality photos and videos.

Highlights
<ul>
<li>10.1 megapixel CCD sensor</li>
<li>3 inch LCD display that can help you stay perfectly level</li>
<li>Wide angle to telephoto zoom lens</li>
<li>Lens is made with extra low dispersion glass</li>
<li>Automatic focus system can find faces and follow moving subjects</li>
</ul>"
6707369;"Profoto   White Softlight ""Beauty Dish"" Reflector (20.5"")";"Profoto White Softlight ""Beauty Dish"" Reflector (20.5"")";"Product Overview

This Profoto white soft light reflector spans 20.5 inches. It can assist you in providing your photos with a soft, natural light with shadow definition. It is meant to be attached to flash heads made by Profoto. This is a great accessory for portraits.

Plus, adjustments can be made to play with different settings of light. There is a disc in the middle of the reflector that prevent light from shining through, and it can be switched with one that lets some light in. This will create circle of light that focuses in where you want it to. The reflector can be connected to a honeycomb grid. That helps make harsh light a little bit softer.

Highlights
<ul>
<li>Provides soft, natural light</li>
<li>Attaches to Profoto flash heads</li>
<li>Spans 20.5 inches</li>
<li>Weighs 2.75 pounds</li>
<li>Can be connected with a honeycomb grid to soften the light</li>
</ul>"
6707373;"Celestron Sky Map - Planisphere";"Celestron Sky Map - Planisphere";"Product Overview

The Celestron Sky Map offers readers a guide to help find anything in the night sky. Also, it is an interesting read, that is both fun and educational. It is a perfect gift for anyone who enjoys looking at the sky at night searching for stars, constellations, and planets. With this guide, you are giving information and tips on how to find everything there is to see up in the night sky.

The Celestron Sky Map does not wait for you to open up to the first page, it features an educational star chart right on the cover. It moves around in a circle to help show you how the stars are expected to move across the sky. What makes this feature even cooler, is that it glows in the dark to help you focus on real constellations when you are outside in the dark. 

For this map to assist you, hold it up outside. Have the arrow facing the North Star (Polaris). Then, turn it to represent the current date and time, and it should then display what you should see in the sky.

Throughout its pages, there are thousands of stars, planets, and galaxies that are listed. It will give you all the necessary information, as well as attributes it has that will help you point it out. 

Highlights
<ul>
<li>21 pages of information about all the objects out there to see in the night sky</li>
<li>Planisphere can be set to current date and time to show you what is in the sky</li>
<li>Uses spiral binding to easily turn to the page you want and keep it there</li>
</ul>"
6707377;"Davis & Sanford   W3 Universal Folding Dolly with 3"" Wheels";"Davis & Sanford W3 Universal Folding Dolly with 3"" Wheels";"Product Overview

This Davis and Sanford W3 universal folding dolly can be fitted for all types of tripods. It has flexibility, as it very easily can make adjustments. Plus, it is very small and light in weight. This makes it very easy to bring along with all your camera equipment. 

The universal dolly has 3 inch metal wheels that can help you move along and pan for your shots, or it can be set up to stay in place. It easily attached to tripods, and it can be folded up in a small size when you are done with it. When folded, it is 24 inches long. When it is set up it has a diameter of 31 inches. Additionally, it weighs 7 pounds, and it is made of aluminum.

Highlights
<ul>
<li>Universal folding dolly that attaches to all types of tripods</li>
<li>3 inch wheels</li>
<li>Has a diameter of 31 inches</li>
<li>Folds up into a length of 24 inches</li>
<li>Weighs 7 pounds</li>
<li>Wheels can be locked to stop them from rolling</li>
</ul>"
6707381;"Celestron   PowerSeeker 50 2""/50mm Refractor Telescope Kit";"Celestron PowerSeeker 50 2""/50mm Refractor Telescope Kit";"Product Overview

This Celestron PowerSeeker telescope kit is a great starting point if you are looking to buy your first telescope. It features high quality, an affordable price, and several features that will make you feel like you made the right decision. To top it off, it is powerful refracting telescope, but it is also light and portable.

It is built with silver aluminum, for a slick look. It features several glass and optical components that contribute to a 100x magnification, a focal length of 600mm, and a focal ratio of f/12. Then, it comes with an Altazimuth mount, which supports movements all around its axis, both vertically and horizontally.

It is light and easy to assemble, as no tools are needed. This makes it a great telescope for any new astronomer.

Highlights
<ul>
<li>Refracting telescope</li>
<li>100x magnification</li>
<li>Focal length is 600mm</li>
<li>Focal ratio is f/12</li>
<li>Equipped with an Altazimuth mount</li>
</ul>"
6707385;"Celestron   PowerSeeker 60 EQ 2.4""/60mm Refractor Telescope Kit";"Celestron PowerSeeker 60 EQ 2.4""/60mm Refractor Telescope Kit";"Product Overview

This Celestron PowerSeeker telescope kits features a refracting telescope that is simple and affordable. It is a great choice for a new amateur astronomer. It is portable, but it is very powerful with a focal length at 900mm and 144x magnification. In addition, it has an aperture size of 60mm, and a focal ratio of f/15.

It is made out of aluminum, and rotates on an equatorial mount. This is perfect for astronomers, because you can set it up and watch as it mirrors Earth's rotational axis. Plus, the glass in the lens is coated to make sure everything you see is as clear and illuminated as possible.

Highlights
<ul>
<li>Refractor telescope that is perfect for new astronomers</li>
<li>Sits on an equatorial mount, which follows the rotation of Earth's axis</li>
<li>The glass in the lens is coated to make everything clear and bright</li>
<li>Focal length of 900mm, and a focal ratio of f/15</li>
<li>144x magnification</li>
</ul>"
6707389;"Celestron   NexStar 130 SLT 5.1""/130mm Reflector Telescope Kit";"Celestron NexStar 130 SLT 5.1""/130mm Reflector Telescope Kit";"Product Overview

This Celestron NexStar star locating reflector telescope is a great model that comes to you already put together. All you have to do is open it up and check out all of its amazing features. It is capable of taking care of any deficiencies that helps keep the quality of what you see at a high level. Physically, it is not too large, and can easily be carried around.

This model is great for amateur astronomers at the intermediate level, but it can also be used as a starting point. It is a very powerful device, that comes with a high level of resolution. Its star locating feature makes use of the reflectors to align the scope with any three objects in the sky. They must also be included with the current date, time, and location.

The stainless steel Celestron NexStar can be equipped with accessories too, such as a GPS device that can improve your accuracy. As a bonus, this kit comes with educational software. It is called, The Sky: Level One, and it has information regarding 10,000 objects in the sky, images, horizontal projection, and sky charts that you can edit and print. 

Highlights
<ul>
<li>Newtonian reflector telescope</li>
<li>No assembly required</li>
<li>Mitigates the occurrence of abberations</li>
<li>SLT feature helps in alignment</li>
<li>250x magnification, 650mm focal length, and f/5 focal ratio</li>
<li>Weighs 18 pounds</li>
</ul>"
6707393;"Rode   Boompole for Rode NTG-1, NTG-2 and Video Mic (10')";"Rode Boompole for Rode NTG-1, NTG-2 and Video Mic (10')";"Product Overview

The Rode Boompole is an audio accessory useful for when you are shooting video on location. This pole will allow you to hold your boom microphone as close as possible without getting in the way of the shot. It provides wide coverage as it can extend from 33 inches to 10 feet; making it useful in a variety of environment.

This specific model is designed to attach to the NTG 1, NTG 2, their NT5 condenser microphone, and their VideoMic model. It does this using the 3/8 inch thread standard. Also, this allows it to be attached to an SM3 shock mount for stability.

Highlights
<ul>
<li>Extends between 33 inches and 10 feet long</li>
<li>Attaches to NTG 1, NTG 2, NT5 condenser, and VideoMic</li>
<li>Uses 3/8 inch thread standard</li>
<li>Can attach to SM3 shock mounts</li>
</ul>"
